Subsystem,Emissions
SyngasCompression,648039.35
HaberBoschUnit,6700962.7
CoolingSubsystem,701.7
ASU,488748.7
HydrogenProduction,2435.7
SyngasCompression,1329286.7
HaberBoschUnit,10699684.31
CoolingSubsystem,1001.25
ASU,488748.7
HydrogenProduction,2435.7
SyngasCompression,1329286.7
HaberBoschUnit,10699684.31
CoolingSubsystem,1001.25
ASU,191265.95
HydrogenProduction,1866.7
SyngasCompression,1605934.35
HaberBoschUnit,12979090.0
CoolingSubsystem,676.0
ASU,191265.95
HydrogenProduction,1866.7
SyngasCompression,1605934.35
HaberBoschUnit,12979090.0
CoolingSubsystem,676.0
ASU,302020.75
HydrogenProduction,2173.25
SyngasCompression,1690989.75
HaberBoschUnit,9197593.48
CoolingSubsystem,589.35
ASU,302020.75
HydrogenProduction,2173.25
SyngasCompression,1690989.75
HaberBoschUnit,9197593.48
CoolingSubsystem,589.35
ASU,471408.8
HydrogenProduction,1506.85
SyngasCompression,1235959.5
HaberBoschUnit,13357983.51
CoolingSubsystem,727.05
ASU,471408.8
HydrogenProduction,1506.85
SyngasCompression,1235959.5
HaberBoschUnit,13357983.51
CoolingSubsystem,727.05
ASU,259023.05
HydrogenProduction,2210.8
SyngasCompression,2107621.95
HaberBoschUnit,11280823.86
CoolingSubsystem,901.7
ASU,259023.05
HydrogenProduction,2210.8
SyngasCompression,2107621.95
HaberBoschUnit,11280823.86
CoolingSubsystem,901.7
ASU,418636.5
HydrogenProduction,2949.4
SyngasCompression,682491.5
HaberBoschUnit,9863951.33
CoolingSubsystem,691.55
ASU,418636.5
HydrogenProduction,2949.4
SyngasCompression,682491.5
HaberBoschUnit,9863951.33
CoolingSubsystem,691.55
ASU,531408.8
HydrogenProduction,2810.25
SyngasCompression,661165.2
HaberBoschUnit,9454015.82
CoolingSubsystem,671.35
ASU,531408.8
HydrogenProduction,2810.25
SyngasCompression,661165.2
HaberBoschUnit,9454015.82
CoolingSubsystem,671.35
ASU,422724.65
HydrogenProduction,2202.25
SyngasCompression,1156775.55
HaberBoschUnit,9149268.48
CoolingSubsystem,720.4
ASU,422724.65
HydrogenProduction,2202.25
SyngasCompression,1156775.55
HaberBoschUnit,9149268.48
CoolingSubsystem,720.4
ASU,300537.25
HydrogenProduction,2982.95
SyngasCompression,1125386.5
HaberBoschUnit,10981957.45
CoolingSubsystem,510.85
ASU,300537.25
HydrogenProduction,2982.95
SyngasCompression,1125386.5
HaberBoschUnit,10981957.45
CoolingSubsystem,510.85
ASU,294842.5
HydrogenProduction,2190.2
SyngasCompression,1192621.65
